"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"Google Classroom",4.0,4.2,0.00,0,"Education","Education","4+","Everyone",64492,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Bejeweled Blitz",4.0,4.2,0.00,0,"Games","Puzzle","4+","Everyone",221836,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"RISK: Global Domination",4.0,4.0,0.00,0,"Games","Board;Action & Adventure","9+","Everyone",64079,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Amazon Prime Video",4.0,4.2,0.00,0,"Entertainment","Entertainment","12+","Teen",376391,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"WatchESPN",4.0,4.1,0.00,0,"Sports","Sports","4+","Everyone",242843,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Cartoon Wars 3",4.0,4.1,0.00,0,"Games","Role Playing","12+","Teen",136708,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Ao Oni2",4.0,4.1,0.00,0,"Games","Adventure","12+","Teen",21216,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"NASCAR MOBILE",4.0,4.2,0.00,0,"Sports","Sports","4+","Everyone",70034,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"My Little Pony: Harmony Quest",4.0,4.1,0.00,0,"Entertainment","Casual;Action & Adventure","4+","Everyone",146098,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Google Classroom",4.0,4.2,0.00,0,"Education","Education","4+","Everyone",64487,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"WatchESPN",4.0,4.1,0.00,0,"Sports","Sports","4+","Everyone",242843,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Peggle Blast",4.0,4.1,0.00,0,"Games","Card","9+","Everyone",156218,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Driving Zone",4.0,4.2,0.00,0,"Games","Racing","4+","Everyone",51496,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Toca Life: City",4.5,4.7,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",28264,240,"$600,000.00","$120,000.00","$29,900.00","$39,900.00","$410,200.00"
"My Talking Pet",4.5,4.6,1.99,4.99,"Entertainment","Entertainment","4+","Everyone",7892,240,"$600,000.00","$120,000.00","$19,900.00","$49,900.00","$410,200.00"
"True Skate",4.0,4.4,1.99,1.99,"Games","Sports","4+","Everyone",120087,228,"$570,000.00","$120,000.00","$19,900.00","$19,900.00","$410,200.00"
"Toca Life: City",4.5,4.7,2.99,3.99,"Education","Education;Pretend Play","4+","Everyone",28249,240,"$600,000.00","$120,000.00","$29,900.00","$39,900.00","$410,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3049,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Out There Chronicles - Ep. 1",4.0,4.4,1.99,2.99,"Games","Role Playing","12+","Everyone",1438,228,"$570,000.00","$120,000.00","$19,900.00","$29,900.00","$400,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3048,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Dr. Panda & Toto's Treehouse",4.5,4.4,3.99,3.99,"Entertainment","Casual;Pretend Play","4+","Everyone",3048,240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00"
"Retro City Rampage DX",4.5,4.7,4.99,2.99,"Games","Action","12+","Teen",367,240,"$600,000.00","$120,000.00","$49,900.00","$29,900.00","$400,200.00"
"iFunny :)",3.5,4.4,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",437538,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"TED",3.5,4.6,0.00,0,"Education","Education","12+","Everyone 10+",176467,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"STARZ",3.5,4.3,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",80870,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
"STARZ",3.5,4.3,0.00,0,"Entertainment","Entertainment","17+","Mature 17+",80870,216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00"
